3023,3236,3452,3118,3270
2988,3483,3363,3140,3202
3014,3382,2995,3034,3274
3091,3358,5301,9077,3094
3167,3416,3443,2891,3419
3253,3594,3249,3089,2965
3131,4826,3235,3112,2891
4091,3507,3292,3357,3226
3189,3267,3158,3017,2942
3159,3321,3218,3091,4767
3130,3578,3360,3050,3113
3161,4394,3211,2969,2956
3002,3382,3115,3068,4664
3604,3655,3193,2967,2990
3431,3218,3137,3490,3129
3200,3543,3235,2905,4578
3091,3227,3763,3038,2966
3436,3584,3162,3255,3051
2938,3433,3117,4590,3235
3677,3423,3351,3341,3142
3157,3356,3305,3135,3056
2886,3454,3175,3017,4775
2986,3345,2946,3098,3239
3312,3699,2823,3004,3377
3136,3329,2861,3155,4703
2964,3410,3050,3023,3094
2966,3346,3018,3277,2983
3509,3190,2907,3400,6358
6849,4955,4631,15303,6321
4733,7026,8789,4351,8224
4704,7618,7866,10422,6848
9988,14578,13177,9275,4506
8164,12008,10729,9561,11376
7961,10836,5664,12031,11344
9397,14565,4845,7912,6888
6383,8822,8218,5846,5678
3494,7758,3118,3413,4990
2984,3547,4040,3578,3075
3027,6069,3050,3099,3356
3089,3389,2967,3067,2950
3165,3262,3667,4570,3311
3052,3532,2894,3110,5365
4141,4187,3015,2939,4304
3053,3285,2852,3108,3155
3218,3524,3455,3135,6307
3086,3218,3126,3008,2915
4190,3449,3064,3042,2973
2977,3307,3126,4778,3214
3069,3218,3058,3062,2993
3072,3684,3470,3042,3025
3932,4230,3023,2957,4669
9630,3556,5517,6029,6460
5609,8763,5640,6142,6109
3256,3427,3051,3065,3665
4695,3424,5019,4025,3222
4501,3511,3147,3510,3028
2941,3431,3103,3418,3329
3014,3218,3045,3491,3194
4361,10074,2980,3154,3398
3056,3320,3140,3074,3298
3156,3330,3317,3006,2914
3014,3495,3580,4534,3083
3152,3365,3154,2994,2911
3034,3247,3074,3051,3135
3241,3496,3170,4761,3570
3168,3199,2932,3037,3018
3049,3360,2954,3118,4093
2957,3380,2929,4814,3277
3184,3407,2873,3286,3180
2996,3441,4134,3116,3340
4847,4363,2958,3141,3405
3102,3682,3261,2929,3123
3135,3470,3193,3075,2864
3153,3343,3037,3009,4558
3800,3318,3099,3061,3120
3137,3175,2868,2996,3006
2976,3291,2862,4632,3195
2972,3329,3572,3100,3127
3069,3558,2825,3063,3262
2976,3345,2924,4775,3096
3182,3249,3109,2878,3054
3106,5401,3307,2881,3082
3164,3346,2856,2956,4718
2907,3476,3091,3089,3228
2971,3334,3191,3258,3421
2918,3312,3016,4614,3060
4674,4947,3102,3032,3818
3037,3360,3205,3610,2928
4745,3227,3121,3101,3679
3034,3271,3113,3262,3030
3404,3206,2875,3004,3034
2944,3462,2956,4852,3251
3675,3907,3319,3258,3524
3010,3076,2862,3012,3012
5227,4647,3019,3615,3432
3248,3337,3050,2967,2968
3118,3452,3166,3102,2922
3175,3200,3352,4768,3116
2920,3234,2880,3158,2971
2927,3240,2957,2943,3106
